Race,Target,Feature,Model,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Mexican American,Has_Hypertension,Sys_BP,RF,2.1,0.5385164807134505,1,3,1.0
Mexican American,Has_Hypertension,Dia_BP,RF,6.6,0.66332495807108,5,7,0.0
Non-Hispanic Asian,Has_Hypertension,Gender,RF,16.8,1.8867962264113207,13,19,0.0
Non-Hispanic Asian,Has_Hypertension,Race,RF,23.0,0.0,23,23,0.0
Non-Hispanic Asian,Has_Hypertension,Income_Ratio,RF,5.6,0.4898979485566356,5,6,0.0
Non-Hispanic Asian,Has_Hypertension,BMI,RF,3.9,0.3,3,4,0.1
Non-Hispanic Asian,Has_Hypertension,Mod_Activity,RF,2.1,0.3,2,3,1.0
Non-Hispanic Asian,Has_Hypertension,Vig_Activity,RF,7.1,0.3,7,8,0.0
Non-Hispanic Asian,Has_Hypertension,Calories,RF,14.4,2.4576411454889016,11,19,0.0
Non-Hispanic Asian,Has_Hypertension,Sodium,RF,17.6,2.4576411454889016,12,20,0.0
Non-Hispanic Asian,Has_Hypertension,Carbs,RF,12.7,1.3453624047073711,11,15,0.0
Non-Hispanic Asian,Has_Hypertension,Fat,RF,17.0,1.7888543819998317,14,20,0.0
Non-Hispanic Asian,Has_Hypertension,Sat_Fat,RF,13.4,2.8000000000000003,11,19,0.0
Non-Hispanic Asian,Has_Hypertension,Sugar,RF,12.9,1.8138357147217055,11,17,0.0
Non-Hispanic Asian,Has_Hypertension,Fiber,RF,15.4,1.9078784028338913,13,19,0.0
Non-Hispanic Asian,Has_Hypertension,Protein,RF,15.7,2.0024984394500787,13,19,0.0
Non-Hispanic Asian,Has_Hypertension,Ever_Smoked,RF,9.7,0.45825756949558394,9,10,0.0
Non-Hispanic Asian,Has_Hypertension,Smoke_Freq,RF,21.4,0.4898979485566356,21,22,0.0
Non-Hispanic Asian,Has_Hypertension,Alc_Freq,RF,19.1,1.2206555615733703,17,20,0.0
Non-Hispanic Asian,Has_Hypertension,Alc_Amt,RF,21.6,0.4898979485566356,21,22,0.0
Non-Hispanic Asian,Has_Hypertension,HbA1c,RF,3.0,0.4472135954999579,2,4,0.9
Non-Hispanic Asian,Has_Hypertension,Cholesterol,RF,7.9,0.3,7,8,0.0
Non-Hispanic Asian,Has_Hypertension,HDL,RF,9.3,0.45825756949558394,9,10,0.0
Non-Hispanic Asian,Has_Hypertension,Sys_BP,RF,1.0,0.0,1,1,1.0
Non-Hispanic Asian,Has_Hypertension,Dia_BP,RF,5.4,0.4898979485566356,5,6,0.0
Non-Hispanic Black,Has_Hypertension,Gender,RF,20.6,1.562049935181331,16,22,0.0
Non-Hispanic Black,Has_Hypertension,Race,RF,23.0,0.0,23,23,0.0
Non-Hispanic Black,Has_Hypertension,Income_Ratio,RF,3.4,0.66332495807108,3,5,0.7
Non-Hispanic Black,Has_Hypertension,BMI,RF,4.9,1.0440306508910548,3,6,0.1
Non-Hispanic Black,Has_Hypertension,Mod_Activity,RF,1.0,0.0,1,1,1.0
Non-Hispanic Black,Has_Hypertension,Vig_Activity,RF,5.2,0.7483314773547882,4,6,0.0
Non-Hispanic Black,Has_Hypertension,Calories,RF,17.7,1.2688577540449522,15,20,0.0
Non-Hispanic Black,Has_Hypertension,Sodium,RF,18.2,2.4413111231467406,14,21,0.0
Non-Hispanic Black,Has_Hypertension,Carbs,RF,16.2,2.481934729198171,13,20,0.0
Non-Hispanic Black,Has_Hypertension,Fat,RF,18.4,1.1135528725660042,17,20,0.0
Non-Hispanic Black,Has_Hypertension,Sat_Fat,RF,17.5,2.1095023109728985,14,20,0.0
Non-Hispanic Black,Has_Hypertension,Sugar,RF,15.7,1.2688577540449522,14,18,0.0
Non-Hispanic Black,Has_Hypertension,Fiber,RF,14.7,1.7916472867168916,13,19,0.0
Non-Hispanic Black,Has_Hypertension,Protein,RF,14.3,1.8466185312619388,13,19,0.0
Non-Hispanic Black,Has_Hypertension,Ever_Smoked,RF,8.2,0.6,8,10,0.0
Non-Hispanic Black,Has_Hypertension,Smoke_Freq,RF,11.4,0.66332495807108,10,12,0.0
Non-Hispanic Black,Has_Hypertension,Alc_Freq,RF,11.3,0.9,9,12,0.0
Non-Hispanic Black,Has_Hypertension,Alc_Amt,RF,21.7,0.9,19,22,0.0
Non-Hispanic Black,Has_Hypertension,HbA1c,RF,4.5,1.02469507659596,3,6,0.2
Non-Hispanic Black,Has_Hypertension,Cholesterol,RF,9.1,0.5385164807134504,8,10,0.0
Non-Hispanic Black,Has_Hypertension,HDL,RF,10.0,0.6324555320336759,9,11,0.0
Non-Hispanic Black,Has_Hypertension,Sys_BP,RF,2.0,0.0,2,2,1.0
Non-Hispanic Black,Has_Hypertension,Dia_BP,RF,7.0,0.0,7,7,0.0
Non-Hispanic White,Has_Hypertension,Gender,RF,20.0,0.0,20,20,0.0
Non-Hispanic White,Has_Hypertension,Race,RF,23.0,0.0,23,23,0.0
Non-Hispanic White,Has_Hypertension,Income_Ratio,RF,3.3,0.45825756949558405,3,4,0.7
Non-Hispanic White,Has_Hypertension,BMI,RF,3.9,0.7,3,5,0.3
Non-Hispanic White,Has_Hypertension,Mod_Activity,RF,1.2,0.4,1,2,1.0
Non-Hispanic White,Has_Hypertension,Vig_Activity,RF,6.0,0.0,6,6,0.0
Non-Hispanic White,Has_Hypertension,Calories,RF,18.8,0.4,18,19,0.0
Non-Hispanic White,Has_Hypertension,Sodium,RF,15.2,1.661324772583615,13,18,0.0
Non-Hispanic White,Has_Hypertension,Carbs,RF,15.0,1.0,13,16,0.0
Non-Hispanic White,Has_Hypertension,Fat,RF,17.5,0.6708203932499369,17,19,0.0
Non-Hispanic White,Has_Hypertension,Sat_Fat,RF,16.9,1.3,15,19,0.0
