Race,Target,Feature,LR_Mean_Rank,LR_Std_Rank,RF_Mean_Rank,RF_Std_Rank,Rank_Diff,LR_Top_3_Freq,RF_Top_3_Freq
Non-Hispanic Black,Has_Diabetes,HDL,17.3,3.8483762809787714,10.6,0.66332495807108,6.700000000000001,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Alc_Freq,10.9,2.5865034312755126,17.2,1.8867962264113207,6.299999999999999,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Alc_Amt,16.2,4.331281565541543,22.0,0.0,5.800000000000001,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Ever_Smoked,2.1,0.3,7.2,1.7204650534085253,5.1,1.0,0.0
Non-Hispanic Black,Has_Diabetes,Sat_Fat,11.4,3.7202150475476548,16.5,2.29128784747792,5.1,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Smoke_Freq,13.3,3.4942810419312296,9.1,1.044030650891055,4.200000000000001,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Calories,13.4,2.3323807579381204,17.4,2.4979991993593593,3.9999999999999982,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Fat,14.2,3.1874754901018454,18.0,2.1908902300206643,3.8000000000000007,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Carbs,11.4,5.351635264103861,15.0,2.0976176963403033,3.5999999999999996,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Dia_BP,4.9,0.8306623862918076,8.4,0.7999999999999999,3.5,0.0,0.0
Non-Hispanic Black,Has_Diabetes,BMI,6.5,1.746424919657298,4.4,0.66332495807108,2.0999999999999996,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Sodium,17.1,3.4481879299133333,15.3,2.2825424421026654,1.8000000000000007,0.0,0.0
Non-Hispanic Black,Has_Diabetes,Sys_BP,3.5,1.02469507659596,5.3,1.004987562112089,1.7999999999999998,0.6,0.0
Non-Hispanic Black,Has_Diabetes,Fiber,19.2,1.9390719429665315,17.6,2.1999999999999997,1.5999999999999979,0.0,0.0
Non-Hispanic Black,Has_Diabetes,HbA1c,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Non-Hispanic Black,Has_Diabetes,Race,23.0,0.0,23.0,0.0,0.0,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Vig_Activity,20.7,2.4103941586387903,5.2,0.7483314773547882,15.5,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Gender,7.5,1.857417562100671,20.6,1.562049935181331,13.100000000000001,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Sodium,8.1,1.1357816691600546,18.2,2.4413111231467406,10.1,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Carbs,6.4,5.4258639865002145,16.2,2.481934729198171,9.799999999999999,0.3,0.0
Non-Hispanic Black,Has_Hypertension,Income_Ratio,12.5,2.4596747752497685,3.4,0.66332495807108,9.1,0.0,0.7
Non-Hispanic Black,Has_Hypertension,Cholesterol,17.3,2.0518284528683193,9.1,0.5385164807134504,8.200000000000001,0.0,0.0
Non-Hispanic Black,Has_Hypertension,Alc_Freq,19.0,1.8439088914585775,11.3,0.9,7.699999999999999,0.0,0.0
