Race,Target,Feature,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Non-Hispanic Black,Has_Hypertension,Dia_BP,14.1,3.1764760348537187,10,19,0.0
Non-Hispanic Black,Has_Hypertension,Smoke_Freq,15.2,2.0396078054371136,13,20,0.0
Non-Hispanic Black,Has_Hypertension,Sat_Fat,17.3,3.874274125562104,9,22,0.0
Non-Hispanic Black,Has_Hypertension,Cholesterol,17.3,2.05182845286832,13,20,0.0
Non-Hispanic Black,Has_Hypertension,Alc_Amt,17.4,1.7435595774162695,15,20,0.0
Non-Hispanic Black,Has_Hypertension,Protein,18.1,4.437341546466758,7,22,0.0
Non-Hispanic Black,Has_Hypertension,Alc_Freq,19.0,1.8439088914585773,16,22,0.0
Non-Hispanic Black,Has_Hypertension,Sedentary_Behavior,20.7,2.4103941586387903,14,22,0.0
Non-Hispanic Black,Has_Hypertension,Race,23.0,0.0,23,23,0.0
Non-Hispanic White,Has_Diabetes,HbA1c,1.3,0.458257569495584,1,2,1.0
Non-Hispanic White,Has_Diabetes,Sedentary_Behavior,4.0,2.1908902300206643,2,9,0.5
Non-Hispanic White,Has_Diabetes,Cholesterol,4.1,1.972308292331602,2,8,0.6
Non-Hispanic White,Has_Diabetes,Ever_Smoked,4.6,1.624807680927192,2,7,0.3
Non-Hispanic White,Has_Diabetes,BMI,5.2,1.16619037896906,4,8,0.0
Non-Hispanic White,Has_Diabetes,Sugar,6.5,1.746424919657298,4,11,0.0
Non-Hispanic White,Has_Diabetes,Calories,7.7,5.780138406647371,2,21,0.3
Non-Hispanic White,Has_Diabetes,Dia_BP,7.8,1.4,6,11,0.0
Non-Hispanic White,Has_Diabetes,Sys_BP,9.2,1.32664991614216,7,12,0.0
Non-Hispanic White,Has_Diabetes,Income_Ratio,12.0,1.6733200530681511,10,15,0.0
Non-Hispanic White,Has_Diabetes,Sedentary_Behavior,12.3,2.3685438564654024,10,16,0.0
Non-Hispanic White,Has_Diabetes,Alc_Amt,13.1,7.993122043357026,1,20,0.3
Non-Hispanic White,Has_Diabetes,HDL,13.1,1.9209372712298547,11,17,0.0
Non-Hispanic White,Has_Diabetes,Smoke_Freq,13.9,2.5865034312755126,9,19,0.0
Non-Hispanic White,Has_Diabetes,Fat,15.4,5.219195340279955,8,22,0.0
Non-Hispanic White,Has_Diabetes,Protein,15.4,3.0397368307141326,10,20,0.0
Non-Hispanic White,Has_Diabetes,Carbs,15.7,4.405678154382138,8,22,0.0
