Race,Target,Feature,Readable_Feature,Coefficient,Abs_Coefficient,ROC_AUC,PR_AUC,N_Samples,Rank
Non-Hispanic White,Has_Diabetes,LBDHDD,HDL,-0.1565650075308897,0.1565650075308897,0.8920860053952248,0.6136329944410448,6214,12.0
Non-Hispanic White,Has_Diabetes,BPXOSY1,Sys_BP,0.23412826291869818,0.23412826291869818,0.8920860053952248,0.6136329944410448,6214,10.0
Non-Hispanic White,Has_Diabetes,BPXODI1,Dia_BP,-0.26596048769747016,0.26596048769747016,0.8920860053952248,0.6136329944410448,6214,7.0
Other Hispanic,Has_Diabetes,RIAGENDR,Gender,-0.1985613236304475,0.1985613236304475,0.9105101264947812,0.6980622950537727,1373,15.0
Other Hispanic,Has_Diabetes,INDFMPIR,Income_Ratio,-0.13882392425178472,0.13882392425178472,0.9105101264947812,0.6980622950537727,1373,18.0
Other Hispanic,Has_Diabetes,BMXBMI,BMI,0.47387504982534306,0.47387504982534306,0.9105101264947812,0.6980622950537727,1373,5.0
Other Hispanic,Has_Diabetes,PAD680,Mod_Activity,0.45569970961081707,0.45569970961081707,0.9105101264947812,0.6980622950537727,1373,7.0
Other Hispanic,Has_Diabetes,PAD800,Vig_Activity,0.07363045499292874,0.07363045499292874,0.9105101264947812,0.6980622950537727,1373,19.0
Other Hispanic,Has_Diabetes,DR1TKCAL,Calories,-0.31240470255631714,0.31240470255631714,0.9105101264947812,0.6980622950537727,1373,10.0
Other Hispanic,Has_Diabetes,DR1TSODI,Sodium,0.057817458182373466,0.057817458182373466,0.9105101264947812,0.6980622950537727,1373,20.0
Other Hispanic,Has_Diabetes,DR1TCARB,Carbs,0.21134569179549179,0.21134569179549179,0.9105101264947812,0.6980622950537727,1373,14.0
Other Hispanic,Has_Diabetes,DR1TTFAT,Fat,-0.43774405913353004,0.43774405913353004,0.9105101264947812,0.6980622950537727,1373,8.0
Other Hispanic,Has_Diabetes,DR1TSFAT,Sat_Fat,0.48938999914836695,0.48938999914836695,0.9105101264947812,0.6980622950537727,1373,4.0
Other Hispanic,Has_Diabetes,DR1TSUGR,Sugar,-0.029405941535276425,0.029405941535276425,0.9105101264947812,0.6980622950537727,1373,22.0
Other Hispanic,Has_Diabetes,DR1TFIBE,Fiber,0.03312155488353122,0.03312155488353122,0.9105101264947812,0.6980622950537727,1373,21.0
Other Hispanic,Has_Diabetes,DR1TPROT,Protein,-0.14977571595924086,0.14977571595924086,0.9105101264947812,0.6980622950537727,1373,16.0
Other Hispanic,Has_Diabetes,SMQ020,Ever_Smoked,-0.7585674490980338,0.7585674490980338,0.9105101264947812,0.6980622950537727,1373,3.0
Other Hispanic,Has_Diabetes,SMQ040,Smoke_Freq,0.45777832093417725,0.45777832093417725,0.9105101264947812,0.6980622950537727,1373,6.0
Other Hispanic,Has_Diabetes,ALQ121,Alc_Freq,0.22949805154470057,0.22949805154470057,0.9105101264947812,0.6980622950537727,1373,13.0
Other Hispanic,Has_Diabetes,ALQ130,Alc_Amt,-1.0800229574828517,1.0800229574828517,0.9105101264947812,0.6980622950537727,1373,2.0
Other Hispanic,Has_Diabetes,LBXGH,HbA1c,2.515577421234145,2.515577421234145,0.9105101264947812,0.6980622950537727,1373,1.0
Other Hispanic,Has_Diabetes,LBXTC,Cholesterol,-0.3370256549639645,0.3370256549639645,0.9105101264947812,0.6980622950537727,1373,9.0
Other Hispanic,Has_Diabetes,LBDHDD,HDL,0.264376458547692,0.264376458547692,0.9105101264947812,0.6980622950537727,1373,11.0
Other Hispanic,Has_Diabetes,BPXOSY1,Sys_BP,0.23432994010922967,0.23432994010922967,0.9105101264947812,0.6980622950537727,1373,12.0
Other Hispanic,Has_Diabetes,BPXODI1,Dia_BP,-0.1438235648674035,0.1438235648674035,0.9105101264947812,0.6980622950537727,1373,17.0
Other/Multi-racial,Has_Diabetes,RIAGENDR,Gender,0.4234495718514812,0.4234495718514812,0.8883390591966175,0.7444483696050581,948,4.0
Other/Multi-racial,Has_Diabetes,INDFMPIR,Income_Ratio,-0.0014356028395323965,0.0014356028395323965,0.8883390591966175,0.7444483696050581,948,22.0
Other/Multi-racial,Has_Diabetes,BMXBMI,BMI,-0.010458498911641486,0.010458498911641486,0.8883390591966175,0.7444483696050581,948,21.0
Other/Multi-racial,Has_Diabetes,PAD680,Mod_Activity,-0.20310431386586533,0.20310431386586533,0.8883390591966175,0.7444483696050581,948,12.0
Other/Multi-racial,Has_Diabetes,PAD800,Vig_Activity,-0.300688957931268,0.300688957931268,0.8883390591966175,0.7444483696050581,948,7.0
Other/Multi-racial,Has_Diabetes,DR1TKCAL,Calories,-0.2939301171070182,0.2939301171070182,0.8883390591966175,0.7444483696050581,948,9.0
Other/Multi-racial,Has_Diabetes,DR1TSODI,Sodium,0.2693647516846091,0.2693647516846091,0.8883390591966175,0.7444483696050581,948,11.0
Other/Multi-racial,Has_Diabetes,DR1TCARB,Carbs,-0.034219437303439716,0.034219437303439716,0.8883390591966175,0.7444483696050581,948,19.0
Other/Multi-racial,Has_Diabetes,DR1TTFAT,Fat,-0.5277681430568677,0.5277681430568677,0.8883390591966175,0.7444483696050581,948,3.0
Other/Multi-racial,Has_Diabetes,DR1TSFAT,Sat_Fat,0.4071689610850187,0.4071689610850187,0.8883390591966175,0.7444483696050581,948,5.0
Other/Multi-racial,Has_Diabetes,DR1TSUGR,Sugar,0.07423867424245191,0.07423867424245191,0.8883390591966175,0.7444483696050581,948,17.0
Other/Multi-racial,Has_Diabetes,DR1TFIBE,Fiber,0.07757186755005527,0.07757186755005527,0.8883390591966175,0.7444483696050581,948,16.0
Other/Multi-racial,Has_Diabetes,DR1TPROT,Protein,-0.2783077373376765,0.2783077373376765,0.8883390591966175,0.7444483696050581,948,10.0
Other/Multi-racial,Has_Diabetes,SMQ020,Ever_Smoked,0.7752310031262437,0.7752310031262437,0.8883390591966175,0.7444483696050581,948,2.0
